text,aspect,sentiment
老师讲课很清楚,教学质量,好评
这门课里老师讲课很好懂,教学质量,好评
整体来看授课思路非常清晰,教学质量,好评
从学习体验来说课堂讲解特别细致,教学质量,好评
就个人感受而言老师上课重点很明确,教学质量,好评
这学期上下来老师表达很流畅,教学质量,好评
按我的体验课堂内容讲得很扎实,教学质量,好评
结合平时上课情况老师讲课很有条理,教学质量,好评
从课程安排看讲课方式容易理解,教学质量,好评
从学生角度看课堂节奏把握得很好,教学质量,好评
老师讲课很清楚让我印象不错,教学质量,好评
这门课里老师讲课很好懂让我印象不错,教学质量,好评
整体来看授课思路非常清晰让我印象不错,教学质量,好评
从学习体验来说课堂讲解特别细致让我印象不错,教学质量,好评
就个人感受而言老师上课重点很明确让我印象不错,教学质量,好评
这学期上下来老师表达很流畅让我印象不错,教学质量,好评
按我的体验课堂内容讲得很扎实让我印象不错,教学质量,好评
结合平时上课情况老师讲课很有条理让我印象不错,教学质量,好评
从课程安排看讲课方式容易理解让我印象不错,教学质量,好评
从学生角度看课堂节奏把握得很好让我印象不错,教学质量,好评
老师讲课很清楚总体能接受,教学质量,好评
这门课里老师讲课很好懂总体能接受,教学质量,好评
整体来看授课思路非常清晰总体能接受,教学质量,好评
从学习体验来说课堂讲解特别细致总体能接受,教学质量,好评
就个人感受而言老师上课重点很明确总体能接受,教学质量,好评
这学期上下来老师表达很流畅总体能接受,教学质量,好评
按我的体验课堂内容讲得很扎实总体能接受,教学质量,好评
结合平时上课情况老师讲课很有条理总体能接受,教学质量,好评
从课程安排看讲课方式容易理解总体能接受,教学质量,好评
从学生角度看课堂节奏把握得很好总体能接受,教学质量,好评
老师讲课很清楚需要继续改进,教学质量,好评
这门课里老师讲课很好懂需要继续改进,教学质量,好评
整体来看授课思路非常清晰需要继续改进,教学质量,好评
从学习体验来说课堂讲解特别细致需要继续改进,教学质量,好评
就个人感受而言老师上课重点很明确需要继续改进,教学质量,好评
这学期上下来老师表达很流畅需要继续改进,教学质量,好评
按我的体验课堂内容讲得很扎实需要继续改进,教学质量,好评
结合平时上课情况老师讲课很有条理需要继续改进,教学质量,好评
从课程安排看讲课方式容易理解需要继续改进,教学质量,好评
从学生角度看课堂节奏把握得很好需要继续改进,教学质量,好评
老师讲课很清楚比我预想更明显,教学质量,好评
这门课里老师讲课很好懂比我预想更明显,教学质量,好评
整体来看授课思路非常清晰比我预想更明显,教学质量,好评
从学习体验来说课堂讲解特别细致比我预想更明显,教学质量,好评
就个人感受而言老师上课重点很明确比我预想更明显,教学质量,好评
这学期上下来老师表达很流畅比我预想更明显,教学质量,好评
按我的体验课堂内容讲得很扎实比我预想更明显,教学质量,好评
结合平时上课情况老师讲课很有条理比我预想更明显,教学质量,好评
从课程安排看讲课方式容易理解比我预想更明显,教学质量,好评
从学生角度看课堂节奏把握得很好比我预想更明显,教学质量,好评
老师讲课很清楚这一点感受很直接,教学质量,好评
这门课里老师讲课很好懂这一点感受很直接,教学质量,好评
整体来看授课思路非常清晰这一点感受很直接,教学质量,好评
从学习体验来说课堂讲解特别细致这一点感受很直接,教学质量,好评
就个人感受而言老师上课重点很明确这一点感受很直接,教学质量,好评
这学期上下来老师表达很流畅这一点感受很直接,教学质量,好评
按我的体验课堂内容讲得很扎实这一点感受很直接,教学质量,好评
结合平时上课情况老师讲课很有条理这一点感受很直接,教学质量,好评
从课程安排看讲课方式容易理解这一点感受很直接,教学质量,好评
从学生角度看课堂节奏把握得很好这一点感受很直接,教学质量,好评
老师讲课很清楚我能明显感觉到,教学质量,好评
这门课里老师讲课很好懂我能明显感觉到,教学质量,好评
整体来看授课思路非常清晰我能明显感觉到,教学质量,好评
从学习体验来说课堂讲解特别细致我能明显感觉到,教学质量,好评
就个人感受而言老师上课重点很明确我能明显感觉到,教学质量,好评
这学期上下来老师表达很流畅我能明显感觉到,教学质量,好评
按我的体验课堂内容讲得很扎实我能明显感觉到,教学质量,好评
结合平时上课情况老师讲课很有条理我能明显感觉到,教学质量,好评
从课程安排看讲课方式容易理解我能明显感觉到,教学质量,好评
从学生角度看课堂节奏把握得很好我能明显感觉到,教学质量,好评
老师讲课很清楚这一点比较突出,教学质量,好评
这门课里老师讲课很好懂这一点比较突出,教学质量,好评
整体来看授课思路非常清晰这一点比较突出,教学质量,好评
从学习体验来说课堂讲解特别细致这一点比较突出,教学质量,好评
就个人感受而言老师上课重点很明确这一点比较突出,教学质量,好评
这学期上下来老师表达很流畅这一点比较突出,教学质量,好评
按我的体验课堂内容讲得很扎实这一点比较突出,教学质量,好评
结合平时上课情况老师讲课很有条理这一点比较突出,教学质量,好评
从课程安排看讲课方式容易理解这一点比较突出,教学质量,好评
从学生角度看课堂节奏把握得很好这一点比较突出,教学质量,好评
老师讲课比较一般,教学质量,中评
这门课里授课效果中规中矩,教学质量,中评
整体来看课堂讲解没有太大亮点,教学质量,中评
从学习体验来说老师表达算是正常,教学质量,中评
就个人感受而言上课听下来感觉一般,教学质量,中评
这学期上下来老师讲课水平比较平稳,教学质量,中评
按我的体验课堂内容讲得还可以,教学质量,中评
结合平时上课情况老师讲课不算差也不算好,教学质量,中评
从课程安排看授课方式比较普通,教学质量,中评
从学生角度看课堂效果总体一般,教学质量,中评
老师讲课比较一般让我印象不错,教学质量,中评
这门课里授课效果中规中矩让我印象不错,教学质量,中评
整体来看课堂讲解没有太大亮点让我印象不错,教学质量,中评
从学习体验来说老师表达算是正常让我印象不错,教学质量,中评
就个人感受而言上课听下来感觉一般让我印象不错,教学质量,中评
这学期上下来老师讲课水平比较平稳让我印象不错,教学质量,中评
按我的体验课堂内容讲得还可以让我印象不错,教学质量,中评
结合平时上课情况老师讲课不算差也不算好让我印象不错,教学质量,中评
从课程安排看授课方式比较普通让我印象不错,教学质量,中评
从学生角度看课堂效果总体一般让我印象不错,教学质量,中评
老师讲课比较一般总体能接受,教学质量,中评
这门课里授课效果中规中矩总体能接受,教学质量,中评
整体来看课堂讲解没有太大亮点总体能接受,教学质量,中评
从学习体验来说老师表达算是正常总体能接受,教学质量,中评
就个人感受而言上课听下来感觉一般总体能接受,教学质量,中评
这学期上下来老师讲课水平比较平稳总体能接受,教学质量,中评
按我的体验课堂内容讲得还可以总体能接受,教学质量,中评
结合平时上课情况老师讲课不算差也不算好总体能接受,教学质量,中评
从课程安排看授课方式比较普通总体能接受,教学质量,中评
从学生角度看课堂效果总体一般总体能接受,教学质量,中评
老师讲课比较一般需要继续改进,教学质量,中评
这门课里授课效果中规中矩需要继续改进,教学质量,中评
整体来看课堂讲解没有太大亮点需要继续改进,教学质量,中评
从学习体验来说老师表达算是正常需要继续改进,教学质量,中评
就个人感受而言上课听下来感觉一般需要继续改进,教学质量,中评
这学期上下来老师讲课水平比较平稳需要继续改进,教学质量,中评
按我的体验课堂内容讲得还可以需要继续改进,教学质量,中评
结合平时上课情况老师讲课不算差也不算好需要继续改进,教学质量,中评
从课程安排看授课方式比较普通需要继续改进,教学质量,中评
从学生角度看课堂效果总体一般需要继续改进,教学质量,中评
老师讲课比较一般比我预想更明显,教学质量,中评
这门课里授课效果中规中矩比我预想更明显,教学质量,中评
整体来看课堂讲解没有太大亮点比我预想更明显,教学质量,中评
从学习体验来说老师表达算是正常比我预想更明显,教学质量,中评
就个人感受而言上课听下来感觉一般比我预想更明显,教学质量,中评
这学期上下来老师讲课水平比较平稳比我预想更明显,教学质量,中评
按我的体验课堂内容讲得还可以比我预想更明显,教学质量,中评
结合平时上课情况老师讲课不算差也不算好比我预想更明显,教学质量,中评
从课程安排看授课方式比较普通比我预想更明显,教学质量,中评
从学生角度看课堂效果总体一般比我预想更明显,教学质量,中评
老师讲课比较一般这一点感受很直接,教学质量,中评
这门课里授课效果中规中矩这一点感受很直接,教学质量,中评
整体来看课堂讲解没有太大亮点这一点感受很直接,教学质量,中评
从学习体验来说老师表达算是正常这一点感受很直接,教学质量,中评
就个人感受而言上课听下来感觉一般这一点感受很直接,教学质量,中评
这学期上下来老师讲课水平比较平稳这一点感受很直接,教学质量,中评
按我的体验课堂内容讲得还可以这一点感受很直接,教学质量,中评
结合平时上课情况老师讲课不算差也不算好这一点感受很直接,教学质量,中评
从课程安排看授课方式比较普通这一点感受很直接,教学质量,中评
从学生角度看课堂效果总体一般这一点感受很直接,教学质量,中评
老师讲课比较一般我能明显感觉到,教学质量,中评
这门课里授课效果中规中矩我能明显感觉到,教学质量,中评
整体来看课堂讲解没有太大亮点我能明显感觉到,教学质量,中评
从学习体验来说老师表达算是正常我能明显感觉到,教学质量,中评
就个人感受而言上课听下来感觉一般我能明显感觉到,教学质量,中评
这学期上下来老师讲课水平比较平稳我能明显感觉到,教学质量,中评
按我的体验课堂内容讲得还可以我能明显感觉到,教学质量,中评
结合平时上课情况老师讲课不算差也不算好我能明显感觉到,教学质量,中评
从课程安排看授课方式比较普通我能明显感觉到,教学质量,中评
从学生角度看课堂效果总体一般我能明显感觉到,教学质量,中评
老师讲课比较一般这一点比较突出,教学质量,中评
这门课里授课效果中规中矩这一点比较突出,教学质量,中评
整体来看课堂讲解没有太大亮点这一点比较突出,教学质量,中评
从学习体验来说老师表达算是正常这一点比较突出,教学质量,中评
就个人感受而言上课听下来感觉一般这一点比较突出,教学质量,中评
这学期上下来老师讲课水平比较平稳这一点比较突出,教学质量,中评
按我的体验课堂内容讲得还可以这一点比较突出,教学质量,中评
结合平时上课情况老师讲课不算差也不算好这一点比较突出,教学质量,中评
从课程安排看授课方式比较普通这一点比较突出,教学质量,中评
从学生角度看课堂效果总体一般这一点比较突出,教学质量,中评
老师讲课不够清楚,教学质量,差评
这门课里老师讲课比较混乱,教学质量,差评
整体来看课堂讲解很难听懂,教学质量,差评
从学习体验来说授课思路不太清晰,教学质量,差评
就个人感受而言老师上课重点不明确,教学质量,差评
这学期上下来老师表达比较含糊,教学质量,差评
按我的体验课堂内容讲得很散,教学质量,差评
结合平时上课情况老师讲课节奏太乱,教学质量,差评
从课程安排看讲课方式不容易理解,教学质量,差评
从学生角度看课堂效果比较差,教学质量,差评
老师讲课不够清楚让我印象不错,教学质量,差评
这门课里老师讲课比较混乱让我印象不错,教学质量,差评
整体来看课堂讲解很难听懂让我印象不错,教学质量,差评
从学习体验来说授课思路不太清晰让我印象不错,教学质量,差评
就个人感受而言老师上课重点不明确让我印象不错,教学质量,差评
这学期上下来老师表达比较含糊让我印象不错,教学质量,差评
按我的体验课堂内容讲得很散让我印象不错,教学质量,差评
结合平时上课情况老师讲课节奏太乱让我印象不错,教学质量,差评
从课程安排看讲课方式不容易理解让我印象不错,教学质量,差评
从学生角度看课堂效果比较差让我印象不错,教学质量,差评
老师讲课不够清楚总体能接受,教学质量,差评
这门课里老师讲课比较混乱总体能接受,教学质量,差评
整体来看课堂讲解很难听懂总体能接受,教学质量,差评
从学习体验来说授课思路不太清晰总体能接受,教学质量,差评
就个人感受而言老师上课重点不明确总体能接受,教学质量,差评
这学期上下来老师表达比较含糊总体能接受,教学质量,差评
按我的体验课堂内容讲得很散总体能接受,教学质量,差评
结合平时上课情况老师讲课节奏太乱总体能接受,教学质量,差评
从课程安排看讲课方式不容易理解总体能接受,教学质量,差评
从学生角度看课堂效果比较差总体能接受,教学质量,差评
老师讲课不够清楚需要继续改进,教学质量,差评
这门课里老师讲课比较混乱需要继续改进,教学质量,差评
整体来看课堂讲解很难听懂需要继续改进,教学质量,差评
从学习体验来说授课思路不太清晰需要继续改进,教学质量,差评
就个人感受而言老师上课重点不明确需要继续改进,教学质量,差评
这学期上下来老师表达比较含糊需要继续改进,教学质量,差评
按我的体验课堂内容讲得很散需要继续改进,教学质量,差评
结合平时上课情况老师讲课节奏太乱需要继续改进,教学质量,差评
从课程安排看讲课方式不容易理解需要继续改进,教学质量,差评
从学生角度看课堂效果比较差需要继续改进,教学质量,差评
老师讲课不够清楚比我预想更明显,教学质量,差评
这门课里老师讲课比较混乱比我预想更明显,教学质量,差评
整体来看课堂讲解很难听懂比我预想更明显,教学质量,差评
从学习体验来说授课思路不太清晰比我预想更明显,教学质量,差评
就个人感受而言老师上课重点不明确比我预想更明显,教学质量,差评
这学期上下来老师表达比较含糊比我预想更明显,教学质量,差评
按我的体验课堂内容讲得很散比我预想更明显,教学质量,差评
结合平时上课情况老师讲课节奏太乱比我预想更明显,教学质量,差评
从课程安排看讲课方式不容易理解比我预想更明显,教学质量,差评
从学生角度看课堂效果比较差比我预想更明显,教学质量,差评
老师讲课不够清楚这一点感受很直接,教学质量,差评
这门课里老师讲课比较混乱这一点感受很直接,教学质量,差评
整体来看课堂讲解很难听懂这一点感受很直接,教学质量,差评
从学习体验来说授课思路不太清晰这一点感受很直接,教学质量,差评
就个人感受而言老师上课重点不明确这一点感受很直接,教学质量,差评
这学期上下来老师表达比较含糊这一点感受很直接,教学质量,差评
按我的体验课堂内容讲得很散这一点感受很直接,教学质量,差评
结合平时上课情况老师讲课节奏太乱这一点感受很直接,教学质量,差评
从课程安排看讲课方式不容易理解这一点感受很直接,教学质量,差评
从学生角度看课堂效果比较差这一点感受很直接,教学质量,差评
老师讲课不够清楚我能明显感觉到,教学质量,差评
这门课里老师讲课比较混乱我能明显感觉到,教学质量,差评
整体来看课堂讲解很难听懂我能明显感觉到,教学质量,差评
从学习体验来说授课思路不太清晰我能明显感觉到,教学质量,差评
就个人感受而言老师上课重点不明确我能明显感觉到,教学质量,差评
这学期上下来老师表达比较含糊我能明显感觉到,教学质量,差评
按我的体验课堂内容讲得很散我能明显感觉到,教学质量,差评
结合平时上课情况老师讲课节奏太乱我能明显感觉到,教学质量,差评
从课程安排看讲课方式不容易理解我能明显感觉到,教学质量,差评
从学生角度看课堂效果比较差我能明显感觉到,教学质量,差评
老师讲课不够清楚这一点比较突出,教学质量,差评
这门课里老师讲课比较混乱这一点比较突出,教学质量,差评
整体来看课堂讲解很难听懂这一点比较突出,教学质量,差评
从学习体验来说授课思路不太清晰这一点比较突出,教学质量,差评
就个人感受而言老师上课重点不明确这一点比较突出,教学质量,差评
这学期上下来老师表达比较含糊这一点比较突出,教学质量,差评
按我的体验课堂内容讲得很散这一点比较突出,教学质量,差评
结合平时上课情况老师讲课节奏太乱这一点比较突出,教学质量,差评
从课程安排看讲课方式不容易理解这一点比较突出,教学质量,差评
从学生角度看课堂效果比较差这一点比较突出,教学质量,差评
作业安排很合理,作业负担,好评
这门课里作业量比较合适,作业负担,好评
整体来看平时任务负担不重,作业负担,好评
从学习体验来说作业布置比较轻松,作业负担,好评
就个人感受而言课后练习数量适中,作业负担,好评
这学期上下来作业要求比较合理,作业负担,好评
按我的体验平时任务安排很友好,作业负担,好评
结合平时上课情况作业量控制得不错,作业负担,好评
从课程安排看课后任务不会太多,作业负担,好评
从学生角度看作业负担比较轻,作业负担,好评
作业安排很合理让我印象不错,作业负担,好评
这门课里作业量比较合适让我印象不错,作业负担,好评
整体来看平时任务负担不重让我印象不错,作业负担,好评
从学习体验来说作业布置比较轻松让我印象不错,作业负担,好评
就个人感受而言课后练习数量适中让我印象不错,作业负担,好评
这学期上下来作业要求比较合理让我印象不错,作业负担,好评
按我的体验平时任务安排很友好让我印象不错,作业负担,好评
结合平时上课情况作业量控制得不错让我印象不错,作业负担,好评
从课程安排看课后任务不会太多让我印象不错,作业负担,好评
从学生角度看作业负担比较轻让我印象不错,作业负担,好评
作业安排很合理总体能接受,作业负担,好评
这门课里作业量比较合适总体能接受,作业负担,好评
整体来看平时任务负担不重总体能接受,作业负担,好评
从学习体验来说作业布置比较轻松总体能接受,作业负担,好评
就个人感受而言课后练习数量适中总体能接受,作业负担,好评
这学期上下来作业要求比较合理总体能接受,作业负担,好评
按我的体验平时任务安排很友好总体能接受,作业负担,好评
结合平时上课情况作业量控制得不错总体能接受,作业负担,好评
从课程安排看课后任务不会太多总体能接受,作业负担,好评
从学生角度看作业负担比较轻总体能接受,作业负担,好评
作业安排很合理需要继续改进,作业负担,好评
这门课里作业量比较合适需要继续改进,作业负担,好评
整体来看平时任务负担不重需要继续改进,作业负担,好评
从学习体验来说作业布置比较轻松需要继续改进,作业负担,好评
就个人感受而言课后练习数量适中需要继续改进,作业负担,好评
这学期上下来作业要求比较合理需要继续改进,作业负担,好评
按我的体验平时任务安排很友好需要继续改进,作业负担,好评
结合平时上课情况作业量控制得不错需要继续改进,作业负担,好评
从课程安排看课后任务不会太多需要继续改进,作业负担,好评
从学生角度看作业负担比较轻需要继续改进,作业负担,好评
作业安排很合理比我预想更明显,作业负担,好评
这门课里作业量比较合适比我预想更明显,作业负担,好评
整体来看平时任务负担不重比我预想更明显,作业负担,好评
从学习体验来说作业布置比较轻松比我预想更明显,作业负担,好评
就个人感受而言课后练习数量适中比我预想更明显,作业负担,好评
这学期上下来作业要求比较合理比我预想更明显,作业负担,好评
按我的体验平时任务安排很友好比我预想更明显,作业负担,好评
结合平时上课情况作业量控制得不错比我预想更明显,作业负担,好评
从课程安排看课后任务不会太多比我预想更明显,作业负担,好评
从学生角度看作业负担比较轻比我预想更明显,作业负担,好评
作业安排很合理这一点感受很直接,作业负担,好评
这门课里作业量比较合适这一点感受很直接,作业负担,好评
整体来看平时任务负担不重这一点感受很直接,作业负担,好评
从学习体验来说作业布置比较轻松这一点感受很直接,作业负担,好评
就个人感受而言课后练习数量适中这一点感受很直接,作业负担,好评
这学期上下来作业要求比较合理这一点感受很直接,作业负担,好评
按我的体验平时任务安排很友好这一点感受很直接,作业负担,好评
结合平时上课情况作业量控制得不错这一点感受很直接,作业负担,好评
从课程安排看课后任务不会太多这一点感受很直接,作业负担,好评
从学生角度看作业负担比较轻这一点感受很直接,作业负担,好评
作业安排很合理我能明显感觉到,作业负担,好评
这门课里作业量比较合适我能明显感觉到,作业负担,好评
整体来看平时任务负担不重我能明显感觉到,作业负担,好评
从学习体验来说作业布置比较轻松我能明显感觉到,作业负担,好评
就个人感受而言课后练习数量适中我能明显感觉到,作业负担,好评
这学期上下来作业要求比较合理我能明显感觉到,作业负担,好评
按我的体验平时任务安排很友好我能明显感觉到,作业负担,好评
结合平时上课情况作业量控制得不错我能明显感觉到,作业负担,好评
从课程安排看课后任务不会太多我能明显感觉到,作业负担,好评
从学生角度看作业负担比较轻我能明显感觉到,作业负担,好评
作业安排很合理这一点比较突出,作业负担,好评
这门课里作业量比较合适这一点比较突出,作业负担,好评
整体来看平时任务负担不重这一点比较突出,作业负担,好评
从学习体验来说作业布置比较轻松这一点比较突出,作业负担,好评
就个人感受而言课后练习数量适中这一点比较突出,作业负担,好评
这学期上下来作业要求比较合理这一点比较突出,作业负担,好评
按我的体验平时任务安排很友好这一点比较突出,作业负担,好评
结合平时上课情况作业量控制得不错这一点比较突出,作业负担,好评
从课程安排看课后任务不会太多这一点比较突出,作业负担,好评
从学生角度看作业负担比较轻这一点比较突出,作业负担,好评
作业量比较一般,作业负担,中评
这门课里平时任务不多不少,作业负担,中评
整体来看作业安排中规中矩,作业负担,中评
从学习体验来说课后练习数量一般,作业负担,中评
就个人感受而言作业负担还算正常,作业负担,中评
这学期上下来作业要求没有太大问题,作业负担,中评
按我的体验平时任务安排比较普通,作业负担,中评
结合平时上课情况作业量勉强可以接受,作业负担,中评
从课程安排看课后任务整体一般,作业负担,中评
从学生角度看作业压力不算明显,作业负担,中评
